회사명,공고명,"채용 형태(경력, 신입)",직장 위치,키워드,마감 기한,공고 링크
㈜피노텍,JAVA/JSP 웹서비스 개발/운영,신입·경력1년↑,서울 서초구,"모바일앱개발, 솔루션, 소프트웨어개발",~12/08(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43281546?Oem_Code=C1&logpath=1&stext=&listno=198
㈜휴니드테크놀러지스,(주)휴니드테크놀러지스 연구소 신입사원 채용(HW개발),신입,인천 연수구 외,"검증, 시스템설계, 회로설계, 시스템분석, DHW, 펌웨어",~12/08(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43281425?Oem_Code=C1&logpath=1&stext=&listno=199
㈜데이타솔루션,[중견기업/IT계열] 데이타솔루션 클라우드 아키텍트 채용 공고,신입·경력,서울 강남구,"솔루션, BI, asp, 클라우드아키텍트, 소프트웨어개발",~01/07(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43280717?Oem_Code=C1&logpath=1&stext=&listno=200
㈜에이치시티,23년 11월 사내프로그램 개발 및 유지보수 분야(JAVA) 신입/경력사원 모집,신입·경력,경기 이천시,"홈페이지유지보수, IT개발업무",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43279095?Oem_Code=C1&logpath=1&stext=&listno=201
㈜에이치시티,23년 11월 자동화S/W개발분야(LabView) 신입사원 모집,신입,경기 이천시,자동화프로그램개발,~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43278806?Oem_Code=C1&logpath=1&stext=&listno=202
㈜에이치시티,23년 11월 QA분야 신입/경력사원 채용,신입·경력,경기 이천시,"품질시스템 업무, 검증",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43278065?Oem_Code=C1&logpath=1&stext=&listno=203
㈜브이원텍,"AI 프로젝트 & 모델, 엔진 개발자 모집 (신입/경력)",신입·경력1년↑,경기 수원시,"딥러닝, AI",~12/08(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43277372?Oem_Code=C1&logpath=1&stext=&listno=204
엔에이치엔케이씨피㈜,NHN KCP PG서비스 개발 및 운영(C언어),신입·경력1년↑,서울 구로구,"모바일, 모바일App, 스마트폰, 아이폰, 안드로이드, 문서관리, 문서작성, 재무기획, 재무회계, 시스템운영, 네트워크관리, 데이터마이닝, 데이터관리, 물류센터, 외자구매, 자재구매, 배차, 수행기사, 운전기사, 가맹점관리",~12/08(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43276903?Oem_Code=C1&logpath=1&stext=&listno=205
경동물류,2023년 경동그룹 신입&경력 사원 모집,신입·경력,경기 김포시 외,"전기설계, 복리후생, 행정, 자료조사, SI개발, A·S수리, 전자, 브랜드기획, 신사업기획, Hardware, 사업기획, 문서작성, 전략기획, 문서관리, 전기설비, 전기, 경영기획, 문서관리, 전산입력, 서무",~11/24(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43272318?Oem_Code=C1&logpath=1&stext=&listno=206
두원전자통신,2023년 하반기 각 분야별 신입/경력사원 모집,신입·경력,경기 시흥시 외,"PL, PM, 관리회계, 시스템운영, 회계감사, 기업회계, 사업기획, 원가회계, 경영기획, 네트워크관리, 금융컨설팅, 전략기획, 재무회계, 세무조정, 서버구축, 세무기장, PO, 경영컨설팅, 재무기획, 경영기획",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43276405?Oem_Code=C1&logpath=1&stext=&listno=207
한국후지쯔,한국후지쯔㈜ 각 부문별 신입/경력 채용,신입·경력,서울 종로구,"네트워크관리, SI개발, 증강현실, 솔루션스아키텍트, 네트워크관리, 시스템운영, 시스템운영, 서버구축, 시스템분석, 가상현실, 클라이언트, 네트워크관리, 모델링, 시스템설계, MMORPG, 클라우드개발자, 서버구축, 서버관리, 클라우드아키텍트",~12/26(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43270402?Oem_Code=C1&logpath=1&stext=&listno=208
㈜엔씨아이티에스,[NC 자회사] ㈜NC ITS 시스템 엔지니어 채용,신입·경력,경기 성남시,"관리회계, 부가세신고, 정보통신, SI개발, 거래처관리, 재무회계, 펌웨어, 회로설계, UI·UX기획, 유지보수, 임베디드, GUI, 자료조사, JavaScript, 영업기획, 유지보수, 펌웨어, 회로설계, 행정, 송무담당",~11/21(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43269927?Oem_Code=C1&logpath=1&stext=&listno=209
바이다,각 부문 별 경력 및 신입사원 채용,신입·경력,서울 금천구 외,"관리회계, 네트워크관리, OLAP개발자, 데이터관리, SI개발, 대출심사, 솔루션영업, 복리후생, 인터페이스, 행정, SI개발, 납품영업, 비품관리, 유지보수, DBMS, 솔루션스아키텍트, 신사업기획, 유통영업, 네트워크관리, 시스템운영",~11/22(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43268258?Oem_Code=C1&logpath=1&stext=&listno=210
AJ 네트웍스,AJ네트웍스 렌탈부문 11월 수시채용,신입·경력,서울 송파구 외,"시스템분석, 기술영업, 정보보안, 제조·공정, 메카트로닉스, 클라이언트, SI개발, 기계설비, 아키텍처, 시스템설계, 기술지원",~11/22(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43267950?Oem_Code=C1&logpath=1&stext=&listno=211
테크밸리㈜,2023년 각 부문 신입/경력 모집,신입·경력,경기 성남시,"솔루션, ERP, 소프트웨어개발",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43266340?Oem_Code=C1&logpath=1&stext=&listno=212
한국선불카드㈜,서비스 개발 및 운영 신입,신입,경기 성남시,"GUI, 시스템개발, 인터페이스, 반응형웹",~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43272973?Oem_Code=C1&logpath=1&stext=&listno=213
카카오페이,프론트엔드 개발자,신입·경력,경기 성남시,"시스템개발, 시스템 유지보수, 시스템설계, 서버관리",~11/29(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43273411?Oem_Code=C1&logpath=1&stext=&listno=214
카카오페이,서버 개발자 - 비즈니스플랫폼,신입·경력,경기 성남시,"네트웍구축, 웹호스팅, 통신, 홈네트워크, 네트워크보안, 방화벽, 보안소프트웨어, 보안컨설팅, 정보보안, 클라이언트, SI개발, GUI, 반응형웹, 인터페이스, 검증, 테스터",~11/29(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43272537?Oem_Code=C1&logpath=1&stext=&listno=215
㈜넷맨,㈜넷맨 연구소 신입/경력 상시 채용,신입·경력,서울 금천구 외,"네트웍구축, 웹호스팅, 통신, 홈네트워크, 네트워크보안, 방화벽, 보안소프트웨어, 보안컨설팅, 정보보안, 네트워크관리, 서버구축, 시스템운영, 방화벽, 보안관제, 정보보안, 기술지원, 유지보수",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43271960?Oem_Code=C1&logpath=1&stext=&listno=216
㈜넷맨,㈜넷맨 엔지니어 신입/경력 상시 채용,신입·경력,서울 금천구 외,"플랫폼 운영, 플랫폼 개발, 플랫폼 설계, 서버관리",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43271959?Oem_Code=C1&logpath=1&stext=&listno=217
카카오페이,서버 개발자 - 정산 플랫폼,신입·경력,경기 성남시,"기계, 전산, 네트워크관리, 기계설비, IT, 정보처리, 서버관리",~11/29(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43272013?Oem_Code=C1&logpath=1&stext=&listno=218
㈜클라크,정보시스템 관리 및 운영 담당자,신입·경력1년↑,경기 부천시 외,CAE,상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43269424?Oem_Code=C1&logpath=1&stext=&listno=219
(주)마이나비코리아,[일본 현지 취업] 진동음향업계 CAE실험 분석 엔지니어 (석사/일본어가능자) 711,신입,일본 아이치,,~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43268822?Oem_Code=C1&logpath=1&stext=&listno=220
에스케이쉴더스㈜,보안운영·보안진단·보안Compliance·보안시스템 구축 각 부문 채용,신입·경력,서울 종로구,"네트워크보안, 시스템운영, 네트워크관리, 정보보안, 정보보안",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43268819?Oem_Code=C1&logpath=1&stext=&listno=221
㈜시스게이트,[경기 화성] 데이터센터 시스템 운영 담당자 모집,신입,경기 화성시,"SM, 시스템운영, 네트워크관리, 서버관리",~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43268677?Oem_Code=C1&logpath=1&stext=&listno=222
㈜시스게이트,[충남 천안] 데이터센터 시스템 운영 담당자 모집,신입,충남 천안시,"SM, 시스템운영, 네트워크관리, 서버관리",~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43268663?Oem_Code=C1&logpath=1&stext=&listno=223
블루닉스㈜,전산(프로그램 개발)분야 신입사원 모집,신입,경기 안산시,"기계, 시스템설계, ERP, 프로그램 개발",~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43267589?Oem_Code=C1&logpath=1&stext=&listno=224
㈜스프링웨이브,계전/계측 시스템 장비 테스터,신입·경력1년↑,경기 안양시 외,"테스터, 네트웍구축, 통신, 검증",~01/06(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43266880?Oem_Code=C1&logpath=1&stext=&listno=225
㈜케이지이니시스,"[KG이니시스] 이니밴 승인/배치 개발자 채용 (C, Unix, Linux)",신입·경력,서울 중구,"VAN, 소프트웨어개발",~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43266140?Oem_Code=C1&logpath=1&stext=&listno=226
㈜DYB최선어학원,[직영] 23년 신학기 각 부문 STAFF 모집,신입·경력,서울 강남구 외,"입시전문가, 서비스기획, 앱기획, 콘텐츠기획, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, 인사기획, 인사교육, 교육기획, 면접·채용, 조직문화, 광고기획, 브랜딩, SNS마케팅, 바이럴마케팅, 키워드광고, 프로모션, 콘텐츠기획",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43246599?Oem_Code=C1&logpath=1&stext=&listno=227
엘에스이노베이션,각 부문 채용 - (CS.사무보조/광고영업/백엔드 개발자/웹퍼블리셔/웹디자이너),신입·경력,서울 강서구 외,"CS, 강서구, 마케팅 관리, 백엔드 개발, 서울시, 어플리케이션 영업, jquery, MariaDB, UI·UX디자인, 엘에스이노베이션, 온라인광고, UI·UX기획, 문서관리, 문서작성, 전산입력, 사이트관리, 문서관리, 문서작성, 전산입력, 사이트관리",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43253449?Oem_Code=C1&logpath=1&stext=&listno=228
무어텍,무어텍(청년강소/가족친화인증기업)-IT엔지니어(가상화/x86) 신입 및 경력 모집,신입·경력5년↑,서울 구로구,"스토리지, SI개발, 펌웨어, 유지보수, 네트워크관리, 시스템운영, 기계조작, 시스템운영, 하드웨어, 서버구축, 시스템분석, 네트워크관리, 시스템설계, 서버구축, 설치, 컴퓨터, 서버관리, 가상현실, 기술지원, 유지보수",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43262609?Oem_Code=C1&logpath=1&stext=&listno=229
영진아이엔디㈜,반도체 장비 SCRUBBER 필드엔지니어 채용공고,신입·경력,경기 이천시 외,"CS, scrubber, set-up, 자동제어, 전기, 전기기사, 전기기술, 전기설계, 전기설비, 전기제어, 전기회로, 전자, 전자회로, 전장, 제어, PCB, PLC, 디스플레이, 반도체, 반도체생산",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43246436?Oem_Code=C1&logpath=1&stext=&listno=230
리뷰플레이스,[기본급 / 인센티브] 콘텐츠마케팅 영업사원 채용,신입·경력,서울 금천구 외,"기획전략, 브랜드마케팅, 신사업발굴, 콘텐츠기획, 퍼포먼스마케팅, KPI관리, 광고기획, 광고대행, 온라인광고, 이벤트대행, 홍보대행, 데이터분석, 광고기획, 시장분석, 브랜딩, SNS마케팅, 바이럴마케팅, 키워드광고, 프로모션, 데이터분석",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43253557?Oem_Code=C1&logpath=1&stext=&listno=231
㈜아이투맥스,[기흥] Salesforce 개발자 채용(신입),신입,경기 용인시,"SM, SI개발, 솔루션, SI, CRM, ERP",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43264278?Oem_Code=C1&logpath=1&stext=&listno=232
㈜오파스넷,2024년 오파스넷 공채 3기 인턴쉽 모집,신입,서울 강남구,"네트웍구축, 별정통신, 통신, 서버구축, 시스템운영, 서버관리, 네트워크관리, 빅데이터",~11/24(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43260455?Oem_Code=C1&logpath=1&stext=&listno=233
굿어스㈜,"[기흥/화성] 네트워크 기술지원, 운영(신입) 채용",신입,경기 화성시 외,"NI, 시스템운영, SI, 네트워크관리, CCNP",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43259980?Oem_Code=C1&logpath=1&stext=&listno=234
굿어스㈜,"NVIDIA 엔지니어 (신입, 경력 2년 이상 10년 이하) 채용",신입·경력2년↑,서울 강남구,"NI, 네트워크관리, SI, 서버구축, 네트워크관리",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43259964?Oem_Code=C1&logpath=1&stext=&listno=235
㈜우대칼스,"도시계획, GIS DB 구축 부문",신입·경력,서울 서초구,"데이터관리, 솔루션, SI, GIS, 소프트웨어개발",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43259871?Oem_Code=C1&logpath=1&stext=&listno=236
에스넷시스템㈜,[아산] Network 엔지니어 (신입/경력) 채용,신입·경력3년↑,충남 아산시,"NI, SM, SI, 네트워크관리, 소프트웨어개발",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43259054?Oem_Code=C1&logpath=1&stext=&listno=237
메가존클라우드㈜,글로벌 클라우드(Tech/Sales 등)  채용,신입·경력,서울 강남구,"솔루션영업, 솔루션, 시스템영업, 시스템분석, 기술영업, 재무회계, 정보보안, 클라이언트, 아키텍처, 시스템설계, 네트워크영업, 소프트웨어개발, 원가회계, 전산회계",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43253745?Oem_Code=C1&logpath=1&stext=&listno=238
㈜상아뉴매틱,[정보기술팀] 전산 담당자 채용,신입·경력,대구 달성군,"네트워크관리, 서버관리",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43253363?Oem_Code=C1&logpath=1&stext=&listno=239
㈜코콤,기술관리팀(홈네트워크 현장 공사관리) 경력사원 모집합니다.,신입·경력,경기 김포시 외,"시공관리, 네트워크관리, 홈네트워크",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43253153?Oem_Code=C1&logpath=1&stext=&listno=240
㈜엠게임,[엠게임] 웹개발자 모집,신입·경력,서울 금천구,"게임개발, 게임기획, 웹표준·웹접근성",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43251367?Oem_Code=C1&logpath=1&stext=&listno=241
스마트동스쿨,보충역 (현역x)산업기능요원 정보처리 병역특례 개발 PHP node.js 리액트 보충역 벤처기업 마포 병특,신입,서울 마포구,"GUI, SI개발, 서버관리, 인터페이스, 반응형웹, 클라이언트, 핀테크, HTTP",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43247789?Oem_Code=C1&logpath=1&stext=&listno=242
한화제약(주),춘천공장 DI팀 채용,신입·경력,강원 춘천시,"점검, 시스템운영, 유지관리",~11/29(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43246162?Oem_Code=C1&logpath=1&stext=&listno=243
인지컨트롤스㈜,인지컨트롤스㈜ 하반기 각 부문 신입/경력 채용,신입·경력,경기 시흥시 외,"관리회계, 메카트로닉스, 부가세신고, 제품개발, 복리후생, 4대보험, 거래처관리, 공조냉동, 기구설계, 회로설계, CAM, 제어·설계, 연구·실험·기술, 캐드원, 더존, 부가세신고, 품질보증, 생산관리, 영업기획, 펌웨어",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43238059?Oem_Code=C1&logpath=1&stext=&listno=244
솔탑,[솔탑] 연구/개발직 신입 및 경력사원 모집,신입·경력2년↑,대전 유성구 외,"메카트로닉스, 기계설계, 기구설계, 전자통신, 펌웨어, 제어·설계, 앱개발자, 유지보수, 신호처리, 솔루션, 펌웨어, 회로설계, 구조설계, 방산/우주, 네트워크관리, 시스템분석, 통신설비, 기계공학, 3D설계, 시스템운영",~12/02(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43232957?Oem_Code=C1&logpath=1&stext=&listno=245
㈜케이제이씨디스플레이코퍼레이션,㈜ KJC Display 각 부문 신입/경력 모집,신입·경력,서울 영등포구,"디스플레이, 반도체, 반도체장비, LCD, 경영기획, 사업기획, 재무기획, 데이터분석, 브랜드기획, 시장분석, 시장조사, 데이터분석, 전략기획, 4대보험, 결산, 관리회계, 법인결산, 부가세신고, 재무회계, 4대보험",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43237392?Oem_Code=C1&logpath=1&stext=&listno=246
이호스트아이씨티,(주)이호스트아이씨티 엔지니어 채용 공고,신입,서울 금천구,"IDC, 웹호스팅, 방화벽, 네트워크관리, CDN",~01/01(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43238083?Oem_Code=C1&logpath=1&stext=&listno=247
㈜드래곤플라이,[드래곤플라이] 스페셜포스 서버 프로그래머 모집,신입·경력2년↑,서울 서초구,"서버구축, 게임기획, 서버관리",~12/02(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43238060?Oem_Code=C1&logpath=1&stext=&listno=248
㈜드래곤플라이,[드래곤플라이] 스페셜포스2 라이브 서비스 클라이언트 담당 채용,신입·경력2년↑,서울 서초구,"클라이언트, 게임기획",~12/02(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43238000?Oem_Code=C1&logpath=1&stext=&listno=249
㈜지슨,2023년 (주)지슨 채용 - 시스템 관제 업무 인재 채용,신입·경력,서울 강남구,"보안소프트웨어, 정보보안, 네트워크관리, 네트워크관리, 보안관제, 정보보안",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43237997?Oem_Code=C1&logpath=1&stext=&listno=250
㈜ABB코리아,[ABB 코리아] 각 부문 채용,신입·경력,서울 강남구 외,"관리회계, 전산입력, 거래처관리, 회로설계, 캐드원, 전기제어, A·S수리, 영업기획, 자동제어, 키워드광고, 문서관리, 해외마케팅, 전기·전자, 환경, 영업전략, 전화상담, 가맹점관리, 기술영업, 제조·공정, 고객지원",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43235512?Oem_Code=C1&logpath=1&stext=&listno=251
㈜티맥스소프트,[TmaxSoft/공공사업부] 기술지원 엔지니어 수시모집 - PS직군,신입·경력3년↑,경기 성남시,"BigData, 솔루션, SI, ERP, 소프트웨어개발",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43235297?Oem_Code=C1&logpath=1&stext=&listno=252
㈜에스엠씨인터내셔널,[디저트39] 2023년도 각 부문 공개 채용,신입·경력1년↑,서울 강남구 외,"안드로이드, 인테리어, 점포개발, APM, 해외사업, AOS, IOS, Native, UI/UX, 메뉴기획, 식품, 식품연구, 음식료, 점포개발, 사업기획, 신사업기획, 전략기획, 시장분석, 시장조사, 데이터분석",~11/27(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43231719?Oem_Code=C1&logpath=1&stext=&listno=253
에이엠텔레콤㈜,개발품질(DQA) 신입/경력 채용,신입·경력1년↑,경기 성남시,"DQA, 테스터, 웹마스터, 검증, 개발품질",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43231247?Oem_Code=C1&logpath=1&stext=&listno=254
용평리조트,2023년 신입/경력사원 모집(비체 영업관리),신입·경력,충남 보령시,"양식, 시설점검, 유통영업, 시스템운영, ERP개발, 한식, 시스템설계, 리조트, 인사행정, 경기운영",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43230287?Oem_Code=C1&logpath=1&stext=&listno=255
용평리조트,2023년 신입/경력사원 모집(방재),신입·경력,강원 평창군,"양식, 시설점검, 유통영업, 시스템운영, ERP개발, 한식, 시스템설계, 리조트, 인사행정, 경기운영",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43230189?Oem_Code=C1&logpath=1&stext=&listno=256
용평리조트,2023년 신입/경력사원 모집(경기운영원),신입·경력,강원 평창군,"양식, 시설점검, 유통영업, 시스템운영, ERP개발, 한식, 시스템설계, 리조트, 인사행정, 경기운영",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43230160?Oem_Code=C1&logpath=1&stext=&listno=257
용평리조트,2023년 신입/경력사원 모집(영양사),신입·경력,강원 평창군,"양식, 시설점검, 유통영업, 시스템운영, ERP개발, 한식, 시스템설계, 리조트, 인사행정, 경기운영",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43230148?Oem_Code=C1&logpath=1&stext=&listno=258
용평리조트,2023년 신입/경력사원 모집(양식/한식조리사),신입·경력,강원 평창군,"양식, 시설점검, 유통영업, 시스템운영, ERP개발, 한식, 시스템설계, 리조트, 인사행정, 경기운영",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43230118?Oem_Code=C1&logpath=1&stext=&listno=259
용평리조트,2023년 신입/경력사원 모집(F&B(식음)),신입·경력,강원 평창군,"양식, 시설점검, 유통영업, 시스템운영, ERP개발, 한식, 시스템설계, 리조트, 인사행정, 경기운영",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43230087?Oem_Code=C1&logpath=1&stext=&listno=260
용평리조트,2023년 신입/경력사원 모집(인사/급여),신입·경력,강원 평창군,"양식, 시설점검, 유통영업, 시스템운영, ERP개발, 한식, 시스템설계, 리조트, 인사행정, 경기운영",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43230068?Oem_Code=C1&logpath=1&stext=&listno=261
용평리조트,2023년 신입/경력사원 모집(PB유통영업),신입·경력,강원 평창군,"양식, 시설점검, 유통영업, 시스템운영, ERP개발, 한식, 시스템설계, 리조트, 인사행정, 경기운영",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43230046?Oem_Code=C1&logpath=1&stext=&listno=262
용평리조트,2023년 신입/경력사원 모집(전산개발),신입·경력,강원 평창군 외,"양식, 시설점검, 유통영업, 시스템운영, ERP개발, 한식, 시스템설계, 리조트, 인사행정, 경기운영",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43230023?Oem_Code=C1&logpath=1&stext=&listno=263
용평리조트,2023년 신입/경력사원 모집,신입·경력,강원 평창군 외,"양식, 시설점검, 유통영업, 시스템운영, ERP개발, 한식, 시스템설계, 리조트, 인사행정, 경기운영",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43229980?Oem_Code=C1&logpath=1&stext=&listno=264
㈜네패스이앤씨,2023년 부문별 신입/경력 채용,신입·경력,서울,"건축감리, 건축설계, 견적, 상품입출고, 시공관리, 안전평가, 거래처관리, 건축감리, 건축기사, 건축설계, 시장조사, 건설, 영업기획, 재고관리, 4대보험, 브랜드기획, 신사업기획, 건축설계, 데이터분석, 영업전략",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43226769?Oem_Code=C1&logpath=1&stext=&listno=265
