회사명,공고명,"채용 형태(경력, 신입)",직장 위치,키워드,마감 기한,공고 링크
㈜에프앤가이드,[에프앤가이드] IS팀 정규직 채용,신입·경력,서울 강서구,"BigData, 정보보안, 소프트웨어개발",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43229410?Oem_Code=C1&logpath=1&stext=&listno=266
㈜해커스어학원,2023년 해커스교육그룹 신입 및 경력사원 채용,신입·경력,서울 서초구,"교수설계, 편집, 데이터관리, 사이트관리, 웹표준·웹접근성, 재무회계, 출판기획, 프로모션, SNS마케팅, 영사기사, 웹디자인, 컨텐츠개발, 키워드광고, 프로모션, e러닝, 온라인서비스, PL, 카페·블로그관리, 회로설계, 시설점검",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43215420?Oem_Code=C1&logpath=1&stext=&listno=267
㈜컴투스,[컴투스 그룹] 각 부문별 경력/신입 인재채용,신입·경력,서울 금천구,"관리회계, 사이트관리, 웹표준·웹접근성, 재무회계, UI·UX기획, 데이터분석, 서버구축, 시스템운영, 제안·컨설팅, 회계감사, PM, 광고기획, 시스템분석, 앱기획, UI·UX기획, 게임기획, 네트워크관리, 애니메이션, 콘텐츠기획, 시스템설계",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43206606?Oem_Code=C1&logpath=1&stext=&listno=268
㈜엔씨소프트,엔씨소프트 부문별 수시 채용,신입·경력,경기 성남시,"3D온라인게임, 게임개발, 게임기획, 게임디자인, 게임소프트웨어, 게임시나리오, 게임운영관리, 모션그래픽, 베타테스터, 아케이드게임, 웹게임, 콘솔게임, 퍼블리싱, Java게임, RPG, 게임기획, PM, 사이트관리, 증강현실, 서버구축",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43209699?Oem_Code=C1&logpath=1&stext=&listno=269
㈜에프앤가이드,[에프앤가이드] 리서치솔루션팀 정규직 신입/경력 채용,신입·경력,서울 강서구,"BigData, C#, DBMS, 소프트웨어개발",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43227366?Oem_Code=C1&logpath=1&stext=&listno=270
㈜에프앤가이드,[에프앤가이드] 웹&모바일팀 정규직 신입/경력 채용,신입·경력,서울 강서구,"BigData, MS-SQL, Oracle, 소프트웨어개발",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43227287?Oem_Code=C1&logpath=1&stext=&listno=271
㈜예람,"(주)예람 입찰정보사업부-기획개발팀(개발파트) 경력, 신입 채용",신입·경력3년↑,대전 중구 외,"모바일앱개발, 웹 솔루션, 솔루션, 소프트웨어개발",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43227160?Oem_Code=C1&logpath=1&stext=&listno=272
㈜한드림넷,Wi-Fi AP Software 개발자 및 개발검증 엔지니어 채용,신입·경력,경기 의왕시 외,"하드웨어, 검증",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43226464?Oem_Code=C1&logpath=1&stext=&listno=273
㈜천재교과서,천재교과서 밀크T PMO/QA 업무 담당자 채용,신입·경력3년↑,서울 금천구,"테스터, PM, 검증",~12/01(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43226130?Oem_Code=C1&logpath=1&stext=&listno=274
㈜오누이,[에듀테크 스타트업 오누이/설탭] 분야별 채용,신입·경력,서울 마포구 외,"전산입력, 학원운영, GUI, 빅데이터, 복리후생, 사이트관리, SI개발, 펌웨어, 데이터레이크, UI·UX기획, 원격상담, 일반학원, SI개발, SNS마케팅, 영업기획, 프로모션, Python, 딥러닝, 콜통계분석, 데이터시각화",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43225793?Oem_Code=C1&logpath=1&stext=&listno=275
㈜웹젠,[웹젠] 전략기획(일어권)(신입/경력),신입·경력,경기 성남시,"게임소프트웨어, 게임마케팅, 전략기획, 사업성검토, 게임디자인, 재무, 사업기획, 게임기획, 글로벌전략, 전략기획, MMORPG, 게임개발, 시장조사, 일본어",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43225775?Oem_Code=C1&logpath=1&stext=&listno=276
㈜이글루코퍼레이션,[기술지원센터] 대전지역 보안솔루션 기술지원 엔지니어 신입/경력 채용,신입·경력1년↑,대전 유성구,"시스템운영, 서버구축, 기술지원, 서버관리",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43223261?Oem_Code=C1&logpath=1&stext=&listno=277
에즈웰플러스,"Dell X86/GPU 서버, NVIDIA DGX 엔지니어 경력/신입 사원 모집",신입·경력,서울 강남구,"스토리지, 하드웨어, 서버구축, 컴퓨터, 유지보수",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43221008?Oem_Code=C1&logpath=1&stext=&listno=278
한국선불카드㈜,한국선불카드㈜ 영업제휴/기획운영/서비스개발/CX/인사총무 담당자 모집,신입·경력4년↑,경기 성남시,"거래처관리, SI개발, 솔루션, 영업기획, 영업지원, 신사업기획, 영업전략, 가맹점관리, 사업기획, 거래선개발관리, 매출관리, ERP, 전략기획, 데이터분석, 핀테크, 경영기획, 고객관리, 소프트웨어개발, HTTP",~12/02(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43220538?Oem_Code=C1&logpath=1&stext=&listno=279
㈜헥토이노베이션,헥토이노베이션 직군별 인재 모집(서비스기획/사업기획/개발/UX/UI 등),신입·경력,서울 강남구,"관리회계, 기업홍보, 디지털마케팅, SI개발, 안드로이드, 재무회계, 인터페이스, UI·UX기획, 시장조사, 프로모션, 데이터분석, SI개발, SNS마케팅, 프로모션, 모바일, 브랜드기획, 신사업기획, 자금관리, 브랜딩, 서버구축",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43089629?Oem_Code=C1&logpath=1&stext=&listno=280
㈜앤씨앤,"[앤씨앤/넥스트칩]2023년 11월 연구소, 영업마케팅 각 부문 신입/경력 모집",신입·경력,경기 성남시 외,"서비스기획, 데이터분석, 앱기획, UI·UX기획, PM, PL, 시스템분석, 시스템설계, 클라이언트, SI개발, 국내영업, 품질테스트, 전기·전자, 정보통신·IT, 제품개발",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43213808?Oem_Code=C1&logpath=1&stext=&listno=281
㈜시몬스,2023년 하반기 부문별 채용공고,신입·경력1년↑,경기 이천시 외,"가구, 브랜드기획, 인사기획, 면접·채용, 관리회계, 원가회계, 전산회계, 회계감사, 시장분석, 브랜딩, 바이럴마케팅, 프로모션, 리테일MD, 상품기획, 상품입출고, VMD, 서버관리, 네트워크관리, 가구디자인, 전시디자인",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43197291?Oem_Code=C1&logpath=1&stext=&listno=282
㈜사이버텔브릿지,시스템엔지니어(Linux) 신입/경력사원 채용(서울 및 부산),신입·경력3년↑,서울 구로구 외,"솔루션, SI, 네트워크관리, 정보통신, 소프트웨어개발",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43216638?Oem_Code=C1&logpath=1&stext=&listno=283
모두투어네트워크,IT본부 시스템개발 신입 및 경력사원 모집,신입·경력,서울 중구,"시스템운영, 시스템설계",~12/30(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43216215?Oem_Code=C1&logpath=1&stext=&listno=284
㈜기가레인,(주) 기가레인 RF연구소 RF H/W 개발자 채용,신입·경력3년↑,경기 화성시 외,"시스템설계, 회로설계",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43215416?Oem_Code=C1&logpath=1&stext=&listno=285
㈜기가레인,(주) 기가레인 S/W개발자 신입/경력 채용,신입·경력2년↑,경기 성남시 외,"시스템설계, 시스템설계",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43215342?Oem_Code=C1&logpath=1&stext=&listno=286
㈜웹젠,2023 웹젠 수시채용,신입·경력,경기 성남시,"개인정보, 이펙터, UI·UX디자인, 게임개발, 게임기획, 게임디자인, 게임마케팅, 게임소프트웨어, 사업기획, 전략기획, 게임기획, 스토리보드, UI·UX기획, 데이터분석, PM, 문서관리, 문서작성, 전산입력, 사이트관리, 재무회계",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43214157?Oem_Code=C1&logpath=1&stext=&listno=287
㈜엑스퍼넷,[(주)엑스퍼넷]IT 기술지원 엔지니어 신규직원 공개채용,신입·경력,서울 구로구,"시스템운영, 네트웍구축, 네트워크관리, 클라우드",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43212555?Oem_Code=C1&logpath=1&stext=&listno=288
㈜세윤씨앤에스,마이크로소프트(Microsoft) ERP (D365 F&O) 경력/신입 컨설턴트,신입·경력3년↑,서울 마포구 외,"소프트웨어개발, 솔루션",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43212005?Oem_Code=C1&logpath=1&stext=&listno=289
㈜세윤씨앤에스,마이크로소프트(Microsoft) ERP (D365 F&O) 경력/신입 개발자,신입·경력3년↑,서울 마포구 외,"SI개발, 인터페이스, 클라우드개발자, 소프트웨어개발, 솔루션",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43211923?Oem_Code=C1&logpath=1&stext=&listno=290
HL만도,2023년 R&D(SW) 전문연구요원 채용(23년 신규편입자 限)-Adaptive Autosar,신입·경력,경기 성남시,"C코딩, 회로설계, 정보보안, 시스템설계, 임베디드",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43211751?Oem_Code=C1&logpath=1&stext=&listno=291
HL만도,2023년 R&D(SW) 전문연구요원 채용(23년 신규편입자 限)-Cybersecurity,신입·경력,경기 성남시,"C코딩, 회로설계, 정보보안, 시스템설계, 임베디드",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43211730?Oem_Code=C1&logpath=1&stext=&listno=292
HL만도,2023년 R&D(SW) 전문연구요원 채용(23년 신규편입자 限)-R&D SW Tool-Chain,신입·경력,경기 성남시,"C코딩, 회로설계, 정보보안, 시스템설계, 임베디드",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43211705?Oem_Code=C1&logpath=1&stext=&listno=293
HL만도,2023년 R&D(SW) 전문연구요원 채용(23년 신규편입자 限)-Motor Control,신입·경력,경기 성남시,"C코딩, 회로설계, 정보보안, 시스템설계, 임베디드",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43211690?Oem_Code=C1&logpath=1&stext=&listno=294
HL만도,2023년 R&D(SW) 전문연구요원 채용(23년 신규편입자 限)-Basic SW,신입·경력,경기 성남시,"C코딩, 회로설계, 정보보안, 시스템설계, 임베디드",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43211665?Oem_Code=C1&logpath=1&stext=&listno=295
HL만도,2023년 R&D(SW) 전문연구요원 채용(23년 신규편입자 限)-SW Developer,신입·경력,경기 성남시,"C코딩, 회로설계, 정보보안, 시스템설계, 임베디드",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43211652?Oem_Code=C1&logpath=1&stext=&listno=296
HL만도,2023년 R&D(SW) 전문연구요원 채용(23년 신규편입자 限)-Requirement Engineer,신입·경력,경기 성남시,"C코딩, 회로설계, 정보보안, 시스템설계, 임베디드",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43211623?Oem_Code=C1&logpath=1&stext=&listno=297
㈜퓨전소프트,2023년 개발직 채용,신입·경력1년↑,대구 동구 외,"C코딩, 회로설계, 정보보안, 시스템설계, 임베디드",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43211159?Oem_Code=C1&logpath=1&stext=&listno=298
HL만도,2023년 R&D(SW) 전문연구요원 채용(23년 신규편입자 限),신입·경력,경기 성남시,"스토리지, 서버구축, 시스템운영, 시스템운영, 하드웨어, 시스템분석, 네트워크관리, 시스템설계, 서버구축, 컴퓨터, AS, 네트워크관리, 유지보수",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43209966?Oem_Code=C1&logpath=1&stext=&listno=299
㈜에티버스,CISCO 네트워크 엔지니어 모집,신입·경력3년↑,서울 중구,,~12/30(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43209839?Oem_Code=C1&logpath=1&stext=&listno=300
㈜인스웨이브시스템즈,"[정규직]핀테크클라우드팀 개발자 채용(프론트엔드, 백엔드)",신입·경력5년↑,서울 강서구,"솔루션, 소프트웨어개발",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43208258?Oem_Code=C1&logpath=1&stext=&listno=301
㈜사이냅소프트,[2023년 신입·경력 공개채용] 각 부문별 채용,신입·경력,서울 강서구 외,"기술지원, 모바일앱개발, 솔루션, 시스템엔지니어, C++, Java, jsp, Linux, WAS, JavaScript, PyTorch, 모바일앱개발, 소프트웨어개발, 솔루션, WAS, 서비스기획, 콘텐츠기획, UI·UX기획, 시장조사, 데이터분석",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43180816?Oem_Code=C1&logpath=1&stext=&listno=302
㈜두잇시스템,대기업 MES 개발 및 운영 신입/경력사원 모집(LG 배터리 계열사),신입·경력,충북 청주시 외,"회로설계, MES, 품질테스트, PLC",~11/27(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43201803?Oem_Code=C1&logpath=1&stext=&listno=303
㈜체리부로,전산팀(전산관리),신입·경력,충북 진천군,"서버관리, 네트워크관리, 시스템운영",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43203890?Oem_Code=C1&logpath=1&stext=&listno=304
㈜에프앤에프,SAP 운영자 채용연계형 인턴 채용,신입,서울 강남구,"패션, SQL, 시스템운영, SAP, 섬유",~11/22(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43200733?Oem_Code=C1&logpath=1&stext=&listno=305
성우전자㈜,제조업 전산 업무 담당자 채용,신입·경력1년↑,경기 안산시,"방화벽, 네트워크관리, 서버관리",~11/29(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43199731?Oem_Code=C1&logpath=1&stext=&listno=306
㈜이글루코퍼레이션,[전략사업부] 해외사업팀 해외기술지원 신입/경력 채용,신입·경력,서울 송파구,기술지원,~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43199401?Oem_Code=C1&logpath=1&stext=&listno=307
㈜이글루코퍼레이션,[보안관제센터] 부산지역 보안운영 신입 채용,신입·경력1년↑,부산 남구,시스템운영,~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43199355?Oem_Code=C1&logpath=1&stext=&listno=308
㈜이글루코퍼레이션,[보안관제센터] 보안서비스/솔루션 운영 신입/경력 채용 (서울 강서구),신입·경력1년↑,서울 강서구,"방화벽, 보안관제, 네트워크관리, 정보보안",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43199273?Oem_Code=C1&logpath=1&stext=&listno=309
㈜프레시지,(주)프레시지 IT헬프데스크 엔지니어 경력직 채용,신입·경력1년↑,서울 강남구 외,"서버구축, 시스템운영, 시스템운영, 네트워크관리, 서버구축, 서버관리, 네트워크관리",~11/29(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43199204?Oem_Code=C1&logpath=1&stext=&listno=310
㈜이글루코퍼레이션,[보안관제센터] 보안관제 운영 신입/경력 채용 (수도권),신입·경력1년↑,서울 송파구 외,"시스템운영, 보안관제, 정보보안, 서버관리",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43199061?Oem_Code=C1&logpath=1&stext=&listno=311
㈜이글루코퍼레이션,[전략사업부] 정보보안 사업 기획 및 수행 신입/경력 채용,신입·경력1년↑,서울 송파구,"서버구축, 시스템운영, 정보보안, 정보보안",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43198947?Oem_Code=C1&logpath=1&stext=&listno=312
㈜무브인터렉티브,㈜무브인터렉티브 - 북미 온라인 운영 GM 신입/경력 채용,신입·경력,서울 마포구,"사이트관리, 모바일앱게임, 동시통역, RPG, 기타외국어, 게임운영관리, MMORPG, 영어, 퍼블리싱, GM·CS",~12/23(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43156533?Oem_Code=C1&logpath=1&stext=&listno=313
㈜미래컴퍼니,[(주)미래컴퍼니] 자동화 장비 PC 제어,신입·경력3년↑,경기 화성시,"반도체장비, 장비, 반도체, 디스플레이, 반도체, 제어·설계, 디스플레이",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43191826?Oem_Code=C1&logpath=1&stext=&listno=314
㈜포인트모바일,DQA팀 SQA TEST 엔지니어 모집,신입·경력1년↑,서울 금천구 외,"테스터, NFC, 모바일, SQA, 시스템분석, 정보보안, 시스템설계, 품질테스트, PDA, 검증",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43191045?Oem_Code=C1&logpath=1&stext=&listno=315
㈜해커스어학원,[신입/경력][개발] React-Native 모바일앱 개발,신입·경력2년↑,서울 서초구,"모바일앱개발, DataMining, ERP, SI, 모바일App, 아이폰, 안드로이드, WindowsMobile, 증강현실, 가상현실, 인터페이스, SI개발, 시스템분석",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43188710?Oem_Code=C1&logpath=1&stext=&listno=316
엔아이티서비스㈜,[네이버계열사][NIT Service] NAVER/LINE 서비스 관제,신입,강원 춘천시,"서버, 서비스 관제, ACL, 인프라 관제, 고정IP, 장애복구",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43187633?Oem_Code=C1&logpath=1&stext=&listno=317
엔아이티서비스㈜,[네이버계열사][NIT Service] NAVER/LINE 보안관제,신입,경기 성남시,"IPS, 방화벽, 해킹, IDS, 보안관제, 정보보안, ESM, IDS, 방화벽, 정보보안",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43187527?Oem_Code=C1&logpath=1&stext=&listno=318
엔아이티서비스㈜,[네이버계열사][NIT Service] 네이버 파이낸셜 플랫폼 운영,신입,경기 성남시,"데이터관리, Python, WEB/WAS, Windows, Docker, kubernetes",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43187401?Oem_Code=C1&logpath=1&stext=&listno=319
엔아이티서비스㈜,[네이버계열사][NIT Service] NAVER 서비스 보안진단,신입,경기 성남시,"네트워크보안, 시스템운영, 해킹, 정보보안, 정보보안",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43187226?Oem_Code=C1&logpath=1&stext=&listno=320
현대디지텍코어㈜,강남/삼성 OA장비 유지보수 직원 채용,신입·경력1년↑,서울 강남구 외,"기술지원, 시스템운영, 하드웨어, 컴퓨터, 유지보수, 유지보수",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43186517?Oem_Code=C1&logpath=1&stext=&listno=321
에스케이쉴더스㈜,정보보안 컨설팅 신입/경력직 채용,신입·경력,서울 종로구,"보안컨설팅, 보안운영, 보안인증, 네트워크보안, 보안컨설팅, 정보보안, SSL, 정보보안",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43182887?Oem_Code=C1&logpath=1&stext=&listno=322
㈜피엠그로우,EV(전기차) 배터리 관련 AI 개발자 채용,신입·경력,서울 서초구 외,"Python, AI, 자동차부품, 빅데이터, 데이터레이크, ETL, 클라이언트, SI개발, 인공지능",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43180955?Oem_Code=C1&logpath=1&stext=&listno=323
㈜사이냅소프트,2023년 신입/경력 각 부문 채용,신입·경력,서울 강서구 외,"모바일앱개발, C++, 솔루션영업, 시장조사, WAS, JavaScript, 모바일앱개발, 솔루션, 딥러닝, 인공지능, 기술영업, 웹사이트구축영업, 콘텐츠기획, 브랜드기획, 시스템엔지니어, jsp, 기술지원, Java, PyTorch, 소프트웨어개발",~11/25(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43180363?Oem_Code=C1&logpath=1&stext=&listno=324
㈜마크로젠,㈜마크로젠 각 부문 신입/경력 직원 채용,신입·경력,서울 금천구 외,"바이오, 제약, PM, PO, 입출금관리, 자금관리, SI개발, 국내영업, 의료기기영업, 제약영업, 영어, 거래처관리, 고객관리, 매출관리, 영업전략, 생명공학, 미생물, 연구·실험·기술, 생명공학, 미생물",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43177374?Oem_Code=C1&logpath=1&stext=&listno=325
한국생활건강,2023년 하반기 각 부문 신입/경력사원 모집,신입·경력,서울 성동구 외,"법무사, 변호사, 웹디자인, 패키지디자인, 포장, AMD, QC, 퍼포먼스마케터, 홈쇼핑, 쇼핑몰, 건강식품, 사업기획, 신사업기획, 행정, 비품관리, 자산관리, 소송·민사·등기, 인사기획, 인사행정, 면접·채용",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43176244?Oem_Code=C1&logpath=1&stext=&listno=326
신성통상㈜,신성통상(주) 내부 ERP 개발/운영/유지보수 담당자 채용,신입·경력4년↑,서울 강동구,"남성의류, 서버구축, 시스템운영, 시스템운영, 시스템분석, 네트워크관리, 여성의류, 재단·수선·미싱, 서버구축, 유아의류, 서버관리, 네트워크관리, 직물·우븐·데님",~12/25(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43176089?Oem_Code=C1&logpath=1&stext=&listno=327
㈜컴투스,[컴투스][제노니아:크로노브레이크] 레벨 디자인 기획 (경력),신입·경력,서울 금천구,"레벨 디자인 기획, MMORPG",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43175483?Oem_Code=C1&logpath=1&stext=&listno=328
㈜컴투스,[컴투스][제노니아:크로노브레이크] 밸런스/라이브 기획 (경력),신입·경력,서울 금천구,"데이터관리, 콘텐츠기획, 게임기획, MMORPG, 서비스기획",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43175154?Oem_Code=C1&logpath=1&stext=&listno=329
㈜필옵틱스,[DI기술팀] 장비 제어 SW 개발 및 디버깅 (C# 기반) 경력 채용,신입·경력,경기 오산시 외,"생산기술, 반도체장비, 반도체, 자동제어, 자동화라인, 제어·설계, 디스플레이, 디스플레이, 자동화라인, 시스템설계",~11/24(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43173152?Oem_Code=C1&logpath=1&stext=&listno=330
㈜유비앤티스랩,통합인증 보안솔루션부문 신입 자바개발자 채용,신입·경력3년↑,서울 구로구,솔루션,~11/24(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43172442?Oem_Code=C1&logpath=1&stext=&listno=331
KCC정보통신,[KCC정보통신] SI영업 신입 및 경력사원 모집,신입·경력,서울 용산구,"솔루션, SI, SM, 서버구축, 시스템분석, 시스템운영, 서버관리, SI개발, 기술지원, 시스템영업, 영업기획, 데이터분석",~11/23(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43165802?Oem_Code=C1&logpath=1&stext=&listno=332
㈜이씨마이너,빅데이터/AI 솔루션 개발자 - 신입/경력 모집,신입·경력,서울 강남구,"빅데이터, 인공지능, 소프트웨어개발, 솔루션",~12/23(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43163470?Oem_Code=C1&logpath=1&stext=&listno=333
